##Databases: KEGG DISEASE, OMIM, NHGRI GWAS Catalog
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink

--------------------

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Cancers	KEGG DISEASE		77	211	1.17027558219e-56	8.44938970345e-54	5159|604|3717|4915|595|596|4089|4771|5155|5290|27436|5743|6929|1499|894|7428|1050|5728|2146|7157|4233|238|4087|3479|7048|2118|5925|2034|2033|3480|2263|2078|4312|4313|11186|207|7039|4318|208|4194|999|4193|672|673|6098|1956|3265|51684|8312|4609|5468|3726|9314|4602|6774|4792|6469|6794|1026|960|861|7161|2115|472|4916|355|3091|3845|7422|1009|367|5915|648|1387|2064|4851|1950	None
Skeletal diseases	KEGG DISEASE		42	197	1.32553381266e-23	4.7851770637e-21	579|5176|9126|7291|8600|2719|9451|4000|3209|7227|5054|9759|4921|4920|7157|2033|5781|2263|2260|8626|57167|8517|4313|4318|60529|3265|7040|8243|8792|4488|1387|6299|2316|860|5243|6662|3845|7422|7421|8878|2254|4853	None
Cancers of the digestive system	KEGG DISEASE		25	48	3.28815612049e-22	7.91349572998e-20	595|596|4089|5743|7039|5728|7157|4087|5925|2263|999|1956|3265|1950|8312|1499|4233|7048|6794|960|7161|355|3845|7422|2064	None
Musculoskeletal diseases	KEGG DISEASE		44	268	1.00819567762e-20	1.81979319811e-18	579|5176|9126|7291|8600|2719|9451|9531|4000|3209|7227|5054|9759|4921|4920|7157|2033|5781|2263|2260|8626|57167|8517|4313|4318|60529|3265|7040|8243|8792|4488|1387|6299|2316|860|5243|6662|3845|7422|7421|8878|1410|2254|4853	None
Cancers of the breast and female genital organs	KEGG DISEASE		19	24	1.02481258867e-19	1.47982937803e-17	4312|1026|595|596|7157|208|3845|999|5728|5290|4193|5925|1956|4313|3265|672|4609|1499|2064	None
Cancers of the urinary system and male genital organs	KEGG DISEASE		21	37	1.83684729212e-19	2.21033957485e-17	2118|5728|4313|11186|5925|7157|4233|894|4193|5743|4318|1956|3265|2078|4609|999|367|648|2064|2115|7428	None
Cancers of haematopoietic and lymphoid tissues	KEGG DISEASE		22	66	2.04186024251e-16	1.9115722338e-14	604|3717|595|596|6929|1050|5728|7157|5925|2033|673|4609|3726|4792|861|472|2146|355|3845|238|1387|4851	None
Cancers of the lung and pleura	KEGG DISEASE		16	22	2.11808557762e-16	1.9115722338e-14	5728|11186|6098|596|7157|3480|5915|4771|5155|3479|5925|1956|238|4609|27436|3845	None
Congenital disorders of development	KEGG DISEASE		41	312	2.42968895956e-16	1.94915047644e-14	6495|81839|595|8626|2719|283120|4838|7039|5076|5728|4000|7249|7248|182|4591|60529|5781|9421|2263|2260|5295|207|2625|673|3265|8312|4771|6469|2332|59|6299|6658|2316|3209|6657|3845|652|2736|4853|4851|7428	None
Inflammatory bowel disease	NHGRI GWAS Catalog		37	271	2.38393393715e-15	1.72120030262e-13	1789|3717|1235|4088|196|5743|1051|3579|6347|2056|3576|3976|50848|6364|1234|4092|4318|5008|8061|729230|5321|246778|6097|3394|1437|5594|3565|6774|6198|6776|6777|6772|9966|50616|7421|5970|6374	None
