##Databases: KEGG DISEASE, OMIM, NHGRI GWAS Catalog
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink

--------------------

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Cancers	KEGG DISEASE		34	211	3.96294593153e-19	2.41739701824e-16	5159|604|595|27436|238|894|1050|3479|5925|2078|2033|2115|4312|11186|208|4194|4193|672|6098|51684|4771|3726|4602|7048|4792|1026|861|4915|4916|355|1009|5915|1387|7428	None
Skeletal diseases	KEGG DISEASE		24	197	1.43472814924e-11	4.37592085517e-09	579|5176|9126|8600|2719|60529|5243|5054|9759|4000|2033|57167|5781|8517|9451|8243|8792|2254|6299|2316|860|3209|8878|1387	None
Musculoskeletal diseases	KEGG DISEASE		26	268	2.04489562999e-10	4.15795444764e-08	579|5176|9126|8600|2719|60529|9531|5243|5054|9759|4000|2033|57167|5781|8517|9451|8243|8792|2254|6299|2316|860|3209|8878|1410|1387	None
Immune system diseases	KEGG DISEASE		23	243	3.46674405366e-09	5.28678468183e-07	1789|1235|114548|3718|9051|4615|4283|6786|5133|83737|1401|1234|8517|718|729230|4792|6352|100507436|3565|3569|6772|929|9966	None
Inflammatory bowel disease	NHGRI GWAS Catalog		24	271	5.30361167284e-09	5.64717862687e-07	1789|196|1051|3579|6347|3576|3976|50848|6364|1234|1235|5008|729230|5321|246778|6097|1437|3394|3565|6772|9966|50616|5970|6198	None
Body mass index	NHGRI GWAS Catalog		27	341	5.55460192807e-09	5.64717862687e-07	627|7284|4633|23405|238|406940|2309|6660|7099|6249|93986|9462|2114|55727|146713|51684|65975|9863|5122|5443|4915|84148|3092|5915|1385|6050|9690	None
Cancers of eye, brain, and central nervous system	KEGG DISEASE		9	27	2.29612912335e-08	2.00091252178e-06	5159|4916|4194|4915|4193|5925|51684|1009|4771	None
Cancers of the lung and pleura	KEGG DISEASE		8	22	8.10132045272e-08	6.1772568452e-06	11186|6098|27436|3479|5925|238|4771|5915	None
Congenital disorders of development	KEGG DISEASE		23	312	2.4358389905e-07	1.65095753801e-05	81839|595|5295|283120|4000|7249|7248|4591|5781|9421|2719|60529|4771|4838|2332|59|6299|6658|2316|3209|6657|2736|7428	None
Cancers of haematopoietic and lymphoid tissues	KEGG DISEASE		11	66	3.01200982179e-07	1.83732599129e-05	1050|604|595|861|5925|355|238|2033|3726|1387|4792	None
