##Databases: PANTHER, KEGG PATHWAY, Reactome, BioCyc
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Proteoglycans in cancer	KEGG PATHWAY	hsa05205	18	205	4.7475986409e-23	3.29008585815e-20	7291|2475|5594|207|7157|89780|406991|117581|7099|6774|3678|3091|7040|1499|5747|2316|7474|2335	http://www.genome.jp/kegg-bin/show_pathway?hsa05205/hsa:117581%09red/hsa:7474%09red/hsa:5594%09red/hsa:89780%09red/hsa:7099%09red/hsa:1499%09red/hsa:3678%09red/hsa:6774%09red/hsa:7157%09red/hsa:7291%09red/hsa:406991%09red/hsa:2316%09red/hsa:5747%09red/hsa:7040%09red/hsa:2475%09red/hsa:2335%09red/hsa:207%09red/hsa:3091%09red
Signal Transduction	Reactome	R-HSA-162582	37	2448	3.04174450614e-21	1.05396447138e-18	2475|10672|7852|5217|6387|5747|10253|7015|8405|10252|7157|3576|5562|182|25776|650|7474|6364|4092|207|999|6868|7040|102|1499|2335|6794|6352|5594|6774|89780|3569|3014|2316|3091|4851|2149	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-162582
Pathways in cancer	KEGG PATHWAY	hsa05200	20	397	5.20046624005e-21	1.20130770145e-18	5747|2475|3569|5594|207|7157|10672|3576|999|7852|6774|6387|3091|7040|650|89780|1499|7474|2149|2335	http://www.genome.jp/kegg-bin/show_pathway?hsa05200/hsa:650%09red/hsa:3569%09red/hsa:7474%09red/hsa:5594%09red/hsa:6387%09red/hsa:89780%09red/hsa:999%09red/hsa:7040%09red/hsa:3576%09red/hsa:7157%09red/hsa:2335%09red/hsa:2149%09red/hsa:5747%09red/hsa:10672%09red/hsa:2475%09red/hsa:6774%09red/hsa:1499%09red/hsa:207%09red/hsa:3091%09red/hsa:7852%09red
MicroRNAs in cancer	KEGG PATHWAY	hsa05206	17	299	8.51432939916e-19	1.4751075684e-16	2475|407026|5594|8091|7157|89780|406991|406985|406984|406933|6774|3678|4851|6935|10253|406952|406937	http://www.genome.jp/kegg-bin/show_pathway?hsa05206/hsa:6774%09red/hsa:5594%09red/hsa:10253%09red/hsa:89780%09red/hsa:3678%09red/hsa:7157%09red/hsa:406991%09red/hsa:406985%09red/hsa:406984%09red/hsa:8091%09red/hsa:406933%09red/hsa:2475%09red/hsa:407026%09red/hsa:406937%09red/hsa:4851%09red/hsa:6935%09red/hsa:406952%09red
Developmental Biology	Reactome	R-HSA-1266738	21	841	4.54727226858e-16	6.30251936426e-14	7026|84962|2043|207|5217|6774|2048|3014|7224|5460|3678|4209|6929|7040|5747|102|1499|2335|57144|4851|5594	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1266738
Angiogenesis	PANTHER	P00005	12	157	5.37602071243e-15	6.20930392285e-13	5594|207|6774|2048|182|3091|4851|5747|1410|1499|7474|2149	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00005
Chemokine signaling pathway	KEGG PATHWAY	hsa04062	10	187	3.14470823855e-11	2.92138833808e-09	6352|5594|207|6774|3576|7852|6387|5747|9547|6364	http://www.genome.jp/kegg-bin/show_pathway?hsa04062/hsa:6774%09red/hsa:5594%09red/hsa:6387%09red/hsa:6364%09red/hsa:3576%09red/hsa:5747%09red/hsa:9547%09red/hsa:6352%09red/hsa:207%09red/hsa:7852%09red
PI3K-Akt signaling pathway	KEGG PATHWAY	hsa04151	12	342	3.37245406994e-11	2.92138833808e-09	2475|5594|207|7157|3569|6794|5562|7099|3678|5747|2149|2335	http://www.genome.jp/kegg-bin/show_pathway?hsa04151/hsa:2149%09red/hsa:3569%09red/hsa:5594%09red/hsa:7099%09red/hsa:3678%09red/hsa:5747%09red/hsa:7157%09red/hsa:2335%09red/hsa:6794%09red/hsa:5562%09red/hsa:2475%09red/hsa:207%09red
Signaling pathways regulating pluripotency of stem cells	KEGG PATHWAY	hsa04550	9	142	7.61222296681e-11	5.40327305194e-09	5594|207|6774|89780|5460|6929|650|1499|7474	http://www.genome.jp/kegg-bin/show_pathway?hsa04550/hsa:650%09red/hsa:7474%09red/hsa:5594%09red/hsa:89780%09red/hsa:6774%09red/hsa:6929%09red/hsa:5460%09red/hsa:1499%09red/hsa:207%09red
Rheumatoid arthritis	KEGG PATHWAY	hsa05323	8	91	7.79693081089e-11	5.40327305194e-09	3569|6352|3589|3576|7099|6387|7040|6364	http://www.genome.jp/kegg-bin/show_pathway?hsa05323/hsa:3569%09red/hsa:6387%09red/hsa:7099%09red/hsa:3589%09red/hsa:3576%09red/hsa:6352%09red/hsa:7040%09red/hsa:6364%09red
CCKR signaling map	PANTHER	P06959	9	175	4.43325319786e-10	2.68613537276e-08	5594|207|6774|3576|999|4209|6615|5747|1499	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P06959
Axon guidance	KEGG PATHWAY	hsa04360	9	176	4.65131666279e-10	2.68613537276e-08	2043|57144|2048|7852|6387|7224|5747|7474|5594	http://www.genome.jp/kegg-bin/show_pathway?hsa04360/hsa:7474%09red/hsa:5594%09red/hsa:6387%09red/hsa:57144%09red/hsa:5747%09red/hsa:2043%09red/hsa:7224%09red/hsa:2048%09red/hsa:7852%09red
@@Axon guidance	Reactome	R-HSA-422475	10	549	6.32662488748e-07	7.9468093182e-06	5594|2335|2048|5217|3678|7224|5747|102|57144|2043	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-422475
