##Databases: PANTHER, KEGG PATHWAY, Reactome, BioCyc
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
MicroRNAs in cancer	KEGG PATHWAY	hsa05206	95	299	1.02183255822e-74	1.44078390709e-71	1789|10298|406925|406881|1545|406884|574484|27165|442900|442903|2744|11186|672|1786|406959|406954|406955|406952|406950|407053|6659|406894|406893|406892|406890|1387|5159|595|406996|406948|407043|894|406947|406995|406942|1399|1398|3667|4194|4193|406979|23411|442891|5328|406977|27250|407035|407032|407033|5243|407031|23405|1871|10253|407024|407026|406976|406915|1869|407018|1026|4170|407011|554213|407014|407015|407016|407017|8660|574452|406900|406903|406902|406906|406909|406908|407030|3065|407009|407008|406989|7078|406982|406986|2033|9759|406938|406935|406937|406933|494324|6464|442918|4855|4854	http://www.genome.jp/kegg-bin/show_pathway?hsa05206/hsa:407030%09red/hsa:494324%09red/hsa:407043%09red/hsa:574452%09red/hsa:1871%09red/hsa:4855%09red/hsa:4854%09red/hsa:894%09red/hsa:8660%09red/hsa:5159%09red/hsa:406959%09red/hsa:406954%09red/hsa:406955%09red/hsa:406950%09red/hsa:406952%09red/hsa:1026%09red/hsa:2033%09red/hsa:1387%09red/hsa:406884%09red/hsa:406881%09red/hsa:10298%09red/hsa:11186%09red/hsa:442891%09red/hsa:406942%09red/hsa:406947%09red/hsa:406948%09red/hsa:1399%09red/hsa:1398%09red/hsa:406894%09red/hsa:6464%09red/hsa:406890%09red/hsa:406893%09red/hsa:406892%09red/hsa:672%09red/hsa:406937%09red/hsa:406935%09red/hsa:27250%09red/hsa:1869%09red/hsa:406938%09red/hsa:574484%09red/hsa:407017%09red/hsa:407014%09red/hsa:407015%09red/hsa:407011%09red/hsa:5243%09red/hsa:407018%09red/hsa:406933%09red/hsa:407009%09red/hsa:595%09red/hsa:406925%09red/hsa:1545%09red/hsa:7078%09red/hsa:1789%09red/hsa:406976%09red/hsa:2744%09red/hsa:1786%09red/hsa:407008%09red/hsa:407016%09red/hsa:27165%09red/hsa:5328%09red/hsa:406915%09red/hsa:9759%09red/hsa:407031%09red/hsa:407032%09red/hsa:407033%09red/hsa:6659%09red/hsa:407035%09red/hsa:554213%09red/hsa:4170%09red/hsa:23411%09red/hsa:3667%09red/hsa:10253%09red/hsa:406909%09red/hsa:406908%09red/hsa:406906%09red/hsa:406903%09red/hsa:406902%09red/hsa:406900%09red/hsa:442918%09red/hsa:407026%09red/hsa:407024%09red/hsa:23405%09red/hsa:3065%09red/hsa:406995%09red/hsa:406996%09red/hsa:406979%09red/hsa:442903%09red/hsa:406977%09red/hsa:442900%09red/hsa:407053%09red/hsa:4194%09red/hsa:406986%09red/hsa:406982%09red/hsa:4193%09red/hsa:406989%09red
Signal Transduction	Reactome	R-HSA-162582	186	2448	7.11248293832e-55	5.01430047151e-52	216|2719|3718|133|6772|8549|7249|23365|10399|5563|5584|5228|5588|6249|10810|25776|54756|4988|57142|3280|81029|718|9462|2854|1026|51684|7048|10197|6659|8877|6658|2316|8878|3569|2147|6657|5915|1385|2254|2149|10803|5159|1129|2492|595|1080|5921|8239|1871|3667|391|27035|8324|3164|4205|2309|4283|10252|3579|3576|3479|5562|7248|57758|1399|1398|51592|26018|7532|1234|8517|1236|64750|8202|4193|8452|153090|5321|102|389|5777|1437|1387|6423|6500|3014|3015|9965|5781|6370|5970|1003|51741|6376|23327|8503|152559|5037|8743|6497|50855|332|388|11343|10253|7015|10023|8945|4067|83737|5948|2688|10468|7415|6363|27161|8829|6367|6366|6364|5029|5295|185|8038|55869|1981|4771|1869|3725|3726|9021|10014|7082|6352|1020|7088|3685|8660|5443|408|6198|728|55366|2735|2736|4915|10672|64321|6498|729230|5217|3066|3065|9181|5054|4615|8405|9759|23028|6347|6348|2033|80310|8841|50848|208|1272|998|22943|5045|4792|1856|10563|56413|4854|4919|1977|1235|11167|6464|2002|355|79718|4855|8850|2535	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-162582
Developmental Biology	Reactome	R-HSA-1266738	90	841	3.99745658607e-36	1.87880459545e-33	10298|23512|3718|7224|23365|3725|1948|6478|10891|6477|5588|8452|54756|57144|5921|9370|998|10197|50674|6657|5915|1385|1387|5159|152559|391|4209|3673|4205|2309|79727|9462|1400|3667|6586|8202|7026|153090|59277|102|389|64218|2046|1437|2254|84962|2043|3014|2049|9965|5970|8726|8503|5037|388|4067|4825|5781|8829|3170|3280|4838|1020|6299|3685|8660|51129|408|7403|5295|5217|2048|3015|1050|1051|7703|1969|79923|2033|57167|8841|9423|688|208|1272|5045|948|6464|80306|79718	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1266738
Pathways in cancer	KEGG PATHWAY	hsa05200	57	397	6.29253790137e-29	2.21811961023e-26	5159|2735|8503|3576|595|23365|10672|5295|2736|332|185|1387|3066|3065|8324|3673|3675|1050|998|6513|3479|1856|5925|2033|81029|1399|2254|7428|2113|8517|4312|112399|11186|208|1398|4193|3918|1871|5228|51684|6772|1869|3725|7048|4792|868|1026|861|6502|3569|3685|9965|355|5915|5970|2149|2535	http://www.genome.jp/kegg-bin/show_pathway?hsa05200/hsa:3918%09red/hsa:81029%09red/hsa:8503%09red/hsa:3569%09red/hsa:11186%09red/hsa:3725%09red/hsa:2535%09red/hsa:355%09red/hsa:1387%09red/hsa:332%09red/hsa:2149%09red/hsa:868%09red/hsa:208%09red/hsa:5228%09red/hsa:1399%09red/hsa:2254%09red/hsa:861%09red/hsa:3479%09red/hsa:112399%09red/hsa:1050%09red/hsa:6502%09red/hsa:1856%09red/hsa:1871%09red/hsa:3065%09red/hsa:3066%09red/hsa:5925%09red/hsa:595%09red/hsa:3675%09red/hsa:8517%09red/hsa:3673%09red/hsa:4193%09red/hsa:4792%09red/hsa:3576%09red/hsa:5159%09red/hsa:5295%09red/hsa:23365%09red/hsa:51684%09red/hsa:5970%09red/hsa:998%09red/hsa:185%09red/hsa:8324%09red/hsa:1026%09red/hsa:6772%09red/hsa:5915%09red/hsa:2033%09red/hsa:4312%09red/hsa:6513%09red/hsa:2113%09red/hsa:3685%09red/hsa:2736%09red/hsa:2735%09red/hsa:10672%09red/hsa:1398%09red/hsa:1869%09red/hsa:9965%09red/hsa:7428%09red/hsa:7048%09red
Immune System	Reactome	R-HSA-168256	108	1583	1.81329139746e-27	5.11348174083e-25	114548|3718|6478|55294|6477|5588|83737|10810|27161|54756|29110|408|718|9462|3838|998|9208|51561|5008|246778|10197|9902|8878|84868|929|417|829|1385|1387|5159|152559|3569|1235|8600|3309|4205|2309|6786|7249|1399|1398|55223|1401|8517|3667|3958|3589|64750|4193|8452|153090|5777|1437|2254|3394|6279|6502|6500|6772|9965|9966|50616|5970|7428|23327|8503|5037|8742|3164|5133|8945|4067|1981|6280|10859|7099|2688|5781|7295|3605|3725|9021|868|1026|100507436|3685|8660|3965|1514|728|5295|9051|4615|2220|4591|2033|5921|3976|208|81559|8792|4792|948|1977|6464|2002|9690|729230	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168256
Chemokine signaling pathway	KEGG PATHWAY	hsa04062	35	187	1.66566019545e-21	3.9143014593e-19	8503|1235|5295|3718|2309|4283|3579|4067|6347|6348|3576|1399|1398|6363|6362|6367|6366|6364|1234|8517|1236|208|998|10563|729230|9547|4792|6352|6464|6772|6370|408|5970|6376|10803	http://www.genome.jp/kegg-bin/show_pathway?hsa04062/hsa:8503%09red/hsa:408%09red/hsa:1234%09red/hsa:1235%09red/hsa:3718%09red/hsa:1236%09red/hsa:4067%09red/hsa:10803%09red/hsa:4283%09red/hsa:1399%09red/hsa:6364%09red/hsa:6367%09red/hsa:6366%09red/hsa:6363%09red/hsa:6362%09red/hsa:6347%09red/hsa:6464%09red/hsa:6348%09red/hsa:3579%09red/hsa:8517%09red/hsa:729230%09red/hsa:998%09red/hsa:4792%09red/hsa:3576%09red/hsa:5295%09red/hsa:208%09red/hsa:5970%09red/hsa:10563%09red/hsa:6772%09red/hsa:6370%09red/hsa:6376%09red/hsa:9547%09red/hsa:6352%09red/hsa:1398%09red/hsa:2309%09red
Hemostasis	Reactome	R-HSA-109582	58	605	2.15940798891e-21	4.34966466337e-19	8503|10672|3309|3718|391|3066|3065|11343|5054|3673|81|3675|2147|7078|4067|6786|3479|5588|10938|5777|2152|1398|2033|25942|50848|29789|5781|308|2623|4312|5295|30846|2627|634|208|302|998|5321|388|6717|10447|4602|5328|1437|967|1020|948|2316|51706|6464|3685|23028|829|4680|408|1387|2149|682	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-109582
Innate Immune System	Reactome	R-HSA-168249	65	769	3.63419308903e-21	6.40526531942e-19	5159|152559|8503|1235|5037|5295|3718|1387|5588|5970|9051|3164|4615|2220|4205|2309|8660|8945|4067|929|718|6280|7249|7099|83737|10810|27161|5921|54756|1398|2033|1401|5781|8517|3667|3958|7295|1437|208|9462|4193|9208|114548|8452|153090|1385|3725|29110|4792|10197|1026|948|6279|6500|6464|998|2002|9965|417|829|408|1514|2254|728|729230	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168249
PI3K-Akt signaling pathway	KEGG PATHWAY	hsa04151	43	342	4.04085847952e-20	6.33067828458e-18	5159|1129|8503|595|5295|3718|5562|5970|3673|3164|7248|3675|2309|1969|3694|3479|7249|7099|2688|80310|5563|7532|8517|3667|894|208|5008|4193|672|3918|5228|4602|1026|4170|3565|1977|3569|3685|9965|1385|2254|6198|2149	http://www.genome.jp/kegg-bin/show_pathway?hsa04151/hsa:3667%09red/hsa:3918%09red/hsa:8503%09red/hsa:3569%09red/hsa:5008%09red/hsa:595%09red/hsa:3565%09red/hsa:3718%09red/hsa:2149%09red/hsa:7532%09red/hsa:5228%09red/hsa:7099%09red/hsa:2688%09red/hsa:3479%09red/hsa:7249%09red/hsa:7248%09red/hsa:1977%09red/hsa:3164%09red/hsa:3694%09red/hsa:3675%09red/hsa:894%09red/hsa:8517%09red/hsa:6198%09red/hsa:3673%09red/hsa:672%09red/hsa:4193%09red/hsa:5295%09red/hsa:5159%09red/hsa:1129%09red/hsa:5970%09red/hsa:1026%09red/hsa:80310%09red/hsa:4170%09red/hsa:1385%09red/hsa:3685%09red/hsa:4602%09red/hsa:208%09red/hsa:5562%09red/hsa:5563%09red/hsa:2254%09red/hsa:9965%09red/hsa:2309%09red/hsa:1969%09red
Cytokine-cytokine receptor interaction	KEGG PATHWAY	hsa04060	38	265	1.14786687859e-19	1.61849229881e-17	5159|8600|8743|8742|51561|4283|3579|6347|6348|3576|355|2688|3976|6363|6362|6367|6366|6364|1234|1235|1236|3605|3589|5008|10563|729230|9547|8792|7048|1437|6352|3565|3569|9966|50616|6370|6376|10803	http://www.genome.jp/kegg-bin/show_pathway?hsa04060/hsa:3569%09red/hsa:1236%09red/hsa:1234%09red/hsa:1235%09red/hsa:8792%09red/hsa:5008%09red/hsa:3565%09red/hsa:9547%09red/hsa:355%09red/hsa:50616%09red/hsa:3605%09red/hsa:10803%09red/hsa:4283%09red/hsa:51561%09red/hsa:6364%09red/hsa:6367%09red/hsa:6366%09red/hsa:6363%09red/hsa:6362%09red/hsa:6347%09red/hsa:3976%09red/hsa:8743%09red/hsa:8742%09red/hsa:8600%09red/hsa:6348%09red/hsa:3579%09red/hsa:729230%09red/hsa:3576%09red/hsa:5159%09red/hsa:10563%09red/hsa:1437%09red/hsa:6370%09red/hsa:3589%09red/hsa:6376%09red/hsa:6352%09red/hsa:9966%09red/hsa:2688%09red/hsa:7048%09red
