##Databases: PANTHER, KEGG PATHWAY, Reactome, BioCyc
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
MicroRNAs in cancer	KEGG PATHWAY	hsa05206	146	299	2.89609409783e-122	4.34703724084e-119	1789|10298|8626|7042|1786|5743|406954|406881|9839|406884|8091|406952|574484|27165|442900|442903|2744|11186|494324|1956|406925|406959|4170|6093|406955|4233|406950|407053|5594|6659|5598|406894|406893|406892|406890|2146|3845|89780|1387|2064|5159|2475|595|596|406996|5155|3678|406949|406948|407043|894|406947|407040|407046|406942|7430|7431|1399|1398|3667|4194|4193|406979|1545|3265|442891|6935|5328|406977|27250|6774|407035|407032|407033|5243|407031|7422|648|387|406969|23405|1871|10253|407029|7157|407024|407026|406976|406915|4609|1869|407018|1026|960|407010|407011|554213|406991|407014|407015|407016|407017|8660|574452|406900|406903|406902|23411|406907|406906|406909|406908|5290|407007|407006|407030|3065|407009|407008|406989|406988|5728|406995|7078|406983|406982|406985|406984|406986|2033|9759|406938|4318|406935|406937|406933|672|4790|5578|6464|472|442918|4855|4854|4853|4851	http://www.genome.jp/kegg-bin/show_pathway?hsa05206/hsa:648%09red/hsa:406969%09red/hsa:407030%09red/hsa:7430%09red/hsa:7431%09red/hsa:6935%09red/hsa:406991%09red/hsa:494324%09red/hsa:407040%09red/hsa:407043%09red/hsa:574452%09red/hsa:2146%09red/hsa:1871%09red/hsa:4855%09red/hsa:4854%09red/hsa:4851%09red/hsa:4853%09red/hsa:1956%09red/hsa:894%09red/hsa:8660%09red/hsa:5159%09red/hsa:406959%09red/hsa:3845%09red/hsa:7422%09red/hsa:406954%09red/hsa:406955%09red/hsa:406950%09red/hsa:406952%09red/hsa:1026%09red/hsa:2033%09red/hsa:1387%09red/hsa:4233%09red/hsa:406890%09red/hsa:8091%09red/hsa:406902%09red/hsa:406884%09red/hsa:406881%09red/hsa:10298%09red/hsa:11186%09red/hsa:442891%09red/hsa:406942%09red/hsa:406947%09red/hsa:406949%09red/hsa:406948%09red/hsa:1399%09red/hsa:1398%09red/hsa:406894%09red/hsa:6464%09red/hsa:387%09red/hsa:406893%09red/hsa:406892%09red/hsa:672%09red/hsa:7078%09red/hsa:4790%09red/hsa:406937%09red/hsa:406935%09red/hsa:406933%09red/hsa:1869%09red/hsa:406938%09red/hsa:407016%09red/hsa:407017%09red/hsa:4318%09red/hsa:407015%09red/hsa:407010%09red/hsa:407011%09red/hsa:5243%09red/hsa:407018%09red/hsa:7042%09red/hsa:27250%09red/hsa:596%09red/hsa:595%09red/hsa:406925%09red/hsa:1545%09red/hsa:407046%09red/hsa:407006%09red/hsa:5578%09red/hsa:407007%09red/hsa:1789%09red/hsa:5743%09red/hsa:2744%09red/hsa:1786%09red/hsa:407008%09red/hsa:960%09red/hsa:2064%09red/hsa:472%09red/hsa:6774%09red/hsa:406976%09red/hsa:574484%09red/hsa:5594%09red/hsa:27165%09red/hsa:6093%09red/hsa:406903%09red/hsa:3678%09red/hsa:406915%09red/hsa:5598%09red/hsa:9759%09red/hsa:407031%09red/hsa:407032%09red/hsa:407033%09red/hsa:6659%09red/hsa:407035%09red/hsa:554213%09red/hsa:4170%09red/hsa:23411%09red/hsa:407009%09red/hsa:2475%09red/hsa:3667%09red/hsa:89780%09red/hsa:10253%09red/hsa:406909%09red/hsa:406908%09red/hsa:406907%09red/hsa:406906%09red/hsa:5328%09red/hsa:5155%09red/hsa:406900%09red/hsa:442918%09red/hsa:407029%09red/hsa:407026%09red/hsa:407024%09red/hsa:23405%09red/hsa:8626%09red/hsa:407014%09red/hsa:5728%09red/hsa:5290%09red/hsa:3065%09red/hsa:406995%09red/hsa:406996%09red/hsa:9839%09red/hsa:406979%09red/hsa:442903%09red/hsa:406977%09red/hsa:442900%09red/hsa:407053%09red/hsa:7157%09red/hsa:4194%09red/hsa:406986%09red/hsa:406985%09red/hsa:406984%09red/hsa:406983%09red/hsa:406982%09red/hsa:3265%09red/hsa:4193%09red/hsa:4609%09red/hsa:406989%09red/hsa:406988%09red
Signal Transduction	Reactome	R-HSA-162582	279	2448	2.89334372852e-98	2.17145446825e-95	216|3717|23513|3718|6667|133|6722|8549|1856|23365|3280|6714|7248|2099|55914|51176|5584|5228|7415|5588|6249|10810|25776|54756|4988|2246|2247|1460|6497|80310|3014|2719|10468|718|5747|3480|3952|9462|999|8877|673|1956|51684|7534|1499|6093|7249|7048|10197|6794|5595|5594|6659|6658|2316|8878|3569|54845|25937|2147|5599|3845|5598|5915|5744|2254|2064|1385|2149|10803|5159|1129|4771|2492|595|1080|8239|1871|5155|3667|10399|391|1487|27035|6382|8324|7082|3164|4205|2309|4283|10252|3579|7474|6662|4314|3576|3479|5562|5563|81029|57758|1399|1398|1981|367|51592|26018|7532|1234|8517|1236|8202|64750|2932|4193|10563|3265|8452|153090|387|102|389|3315|5777|1437|1387|1432|7471|6423|6774|6776|6500|6772|3015|9965|3091|7422|89780|6370|5879|6374|51741|6376|23327|8503|10413|152559|5037|5321|8743|2475|50855|332|7852|388|56288|11343|10253|7015|10023|2118|857|8945|4067|83737|7157|5948|182|6657|1500|2688|5781|650|10672|6363|27161|8828|8829|6367|6366|7040|6364|5029|5295|185|1950|8038|55869|6885|7124|4609|1869|3725|3726|9021|57142|10014|1026|6352|1020|7088|5578|6387|3685|8660|5443|408|6198|6696|728|55366|2735|2736|6777|558|4087|4088|4089|9181|6498|5290|5217|729230|5058|3066|3065|64321|5054|4615|8405|9759|8850|23028|5728|4920|6347|6348|2034|2033|5921|8841|50848|4092|142|207|4318|208|1272|3688|2854|6868|8312|22943|5045|4790|4792|6469|56413|5970|2335|998|4919|1977|1003|1235|11167|6464|57591|2002|355|7046|4915|79718|4855|4854|4853|4851|2535	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-162582
Pathways in cancer	KEGG PATHWAY	hsa05200	121	397	1.58069578218e-81	7.90874789686e-79	6513|7042|5743|23365|5468|51176|5228|2246|2247|11186|3480|999|998|673|1956|51684|367|1499|6093|4233|7048|5595|5594|5599|89780|3569|3845|5915|1387|2064|2149|5159|2475|595|596|5747|5155|6387|1487|8324|3675|3576|3479|1856|81029|1399|1398|2263|2260|8517|112399|2932|4193|10672|3265|387|2254|5578|6774|6502|6776|6777|6772|9965|3091|7422|5970|7428|8503|332|7852|1871|7157|652|650|185|2113|7040|3082|7039|1950|4609|1869|3725|868|1026|861|3685|2735|2736|4087|4088|4089|5295|5290|3066|3065|3673|1050|5728|5925|2034|2033|7471|7474|4312|4313|207|4318|208|3688|3918|8312|4790|4792|6469|5879|2335|355|7046|2535	http://www.genome.jp/kegg-bin/show_pathway?hsa05200/hsa:3918%09red/hsa:3725%09red/hsa:2535%09red/hsa:8312%09red/hsa:3082%09red/hsa:2149%09red/hsa:5228%09red/hsa:81029%09red/hsa:2335%09red/hsa:1871%09red/hsa:7039%09red/hsa:650%09red/hsa:652%09red/hsa:3480%09red/hsa:1026%09red/hsa:6469%09red/hsa:5159%09red/hsa:3845%09red/hsa:7422%09red/hsa:7428%09red/hsa:2034%09red/hsa:5915%09red/hsa:2033%09red/hsa:6513%09red/hsa:2113%09red/hsa:4233%09red/hsa:2736%09red/hsa:2735%09red/hsa:1387%09red/hsa:1869%09red/hsa:9965%09red/hsa:3685%09red/hsa:11186%09red/hsa:868%09red/hsa:1399%09red/hsa:1398%09red/hsa:861%09red/hsa:6502%09red/hsa:1856%09red/hsa:4088%09red/hsa:4089%09red/hsa:4087%09red/hsa:387%09red/hsa:8517%09red/hsa:673%09red/hsa:4792%09red/hsa:4790%09red/hsa:367%09red/hsa:5879%09red/hsa:207%09red/hsa:6776%09red/hsa:6777%09red/hsa:4318%09red/hsa:6772%09red/hsa:4312%09red/hsa:4313%09red/hsa:7046%09red/hsa:208%09red/hsa:2260%09red/hsa:7042%09red/hsa:2263%09red/hsa:5970%09red/hsa:3569%09red/hsa:8503%09red/hsa:51176%09red/hsa:596%09red/hsa:595%09red/hsa:5747%09red/hsa:355%09red/hsa:10672%09red/hsa:5578%09red/hsa:7474%09red/hsa:7471%09red/hsa:5743%09red/hsa:112399%09red/hsa:2064%09red/hsa:6774%09red/hsa:7852%09red/hsa:3675%09red/hsa:5595%09red/hsa:5594%09red/hsa:3673%09red/hsa:6093%09red/hsa:999%09red/hsa:998%09red/hsa:3576%09red/hsa:5599%09red/hsa:23365%09red/hsa:51684%09red/hsa:185%09red/hsa:3688%09red/hsa:2932%09red/hsa:2246%09red/hsa:2247%09red/hsa:1499%09red/hsa:2475%09red/hsa:5468%09red/hsa:89780%09red/hsa:5155%09red/hsa:332%09red/hsa:5925%09red/hsa:6387%09red/hsa:2254%09red/hsa:3479%09red/hsa:1050%09red/hsa:5728%09red/hsa:5290%09red/hsa:1950%09red/hsa:3065%09red/hsa:1956%09red/hsa:1487%09red/hsa:3066%09red/hsa:7040%09red/hsa:5295%09red/hsa:3091%09red/hsa:8324%09red/hsa:7157%09red/hsa:3265%09red/hsa:4193%09red/hsa:4609%09red/hsa:7048%09red
Developmental Biology	Reactome	R-HSA-1266738	143	841	1.61587417527e-67	6.0635678427e-65	3717|10298|23512|3718|7224|23365|5468|6093|1948|6478|10891|6477|5588|54756|2246|2247|57144|1460|5921|3014|9370|998|673|5460|1956|1950|7471|1499|7124|4233|10197|50674|5595|5594|6657|5598|3170|2146|3845|5915|1385|1387|2064|5159|152559|5747|5155|391|4209|3673|4205|2309|79727|7430|9462|1400|3667|6586|3952|8202|3265|7026|153090|59277|102|389|9314|64218|2046|1437|2254|84962|2043|5578|6774|2048|2049|9965|5970|8452|8503|5037|387|388|6929|6925|4067|4825|5781|8828|8829|3897|3725|3280|4838|3688|1020|6299|8726|3678|3685|8660|51129|408|7403|4087|4088|4089|5295|5290|5217|5058|1432|100133941|3015|1050|1051|7703|1969|79923|2034|2033|57167|8841|9423|79718|4313|207|4318|208|1272|2932|5045|4790|5879|2335|948|6464|80306|688|1000|4851|7040	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1266738
Proteoglycans in cancer	KEGG PATHWAY	hsa05205	81	205	9.01613711955e-62	2.70664436329e-59	8503|406902|595|4087|3688|117581|4609|406903|5290|5777|3678|5058|1432|23365|8324|3673|2099|7124|2719|5747|857|6714|998|7157|79923|6382|3479|7099|7430|81029|2475|3480|7471|2260|2247|7474|5781|7291|4313|207|6469|4318|208|5595|4193|673|7078|1956|3265|7040|7042|387|1499|6093|4233|5328|2335|868|5578|1026|960|5594|5295|27250|2316|6198|406991|967|3685|2002|6774|355|3091|3845|7422|89780|1514|3082|5879|2064|2535	http://www.genome.jp/kegg-bin/show_pathway?hsa05205/hsa:81029%09red/hsa:8503%09red/hsa:5295%09red/hsa:89780%09red/hsa:595%09red/hsa:3480%09red/hsa:5328%09red/hsa:2535%09red/hsa:2099%09red/hsa:7291%09red/hsa:79923%09red/hsa:7430%09red/hsa:355%09red/hsa:960%09red/hsa:6774%09red/hsa:7078%09red/hsa:406991%09red/hsa:3082%09red/hsa:27250%09red/hsa:6382%09red/hsa:4233%09red/hsa:868%09red/hsa:5781%09red/hsa:7124%09red/hsa:7099%09red/hsa:3479%09red/hsa:2316%09red/hsa:2002%09red/hsa:2335%09red/hsa:5290%09red/hsa:5058%09red/hsa:998%09red/hsa:1956%09red/hsa:6469%09red/hsa:4087%09red/hsa:7474%09red/hsa:387%09red/hsa:3688%09red/hsa:5595%09red/hsa:5594%09red/hsa:857%09red/hsa:6198%09red/hsa:3673%09red/hsa:6093%09red/hsa:673%09red/hsa:4193%09red/hsa:3678%09red/hsa:4318%09red/hsa:406902%09red/hsa:23365%09red/hsa:7471%09red/hsa:208%09red/hsa:5879%09red/hsa:3845%09red/hsa:7422%09red/hsa:6714%09red/hsa:967%09red/hsa:406903%09red/hsa:117581%09red/hsa:207%09red/hsa:3091%09red/hsa:5578%09red/hsa:8324%09red/hsa:1026%09red/hsa:1432%09red/hsa:2719%09red/hsa:5747%09red/hsa:1514%09red/hsa:4313%09red/hsa:2064%09red/hsa:3685%09red/hsa:2247%09red/hsa:7157%09red/hsa:5777%09red/hsa:2260%09red/hsa:7042%09red/hsa:3265%09red/hsa:1499%09red/hsa:2475%09red/hsa:4609%09red/hsa:7040%09red
PI3K-Akt signaling pathway	KEGG PATHWAY	hsa04151	78	342	1.06232994156e-44	2.6575954038e-42	5159|1129|8503|5578|595|596|4170|5295|5155|3718|5290|3678|3717|7249|5970|3673|3164|7099|3688|3675|2309|5728|1969|2056|7157|4233|5228|3694|3479|5562|5563|2688|80310|2475|3480|2263|2246|2247|4790|7532|8517|3667|894|207|5747|208|5008|2932|4193|672|3918|1956|3265|1950|4609|7534|4602|2260|2335|6794|1026|5595|5594|3565|1977|3569|7248|3685|9965|2254|3845|7422|1385|3082|5879|6198|6696|2149	http://www.genome.jp/kegg-bin/show_pathway?hsa04151/hsa:3667%09red/hsa:3918%09red/hsa:8503%09red/hsa:3569%09red/hsa:5008%09red/hsa:595%09red/hsa:3480%09red/hsa:894%09red/hsa:5747%09red/hsa:7099%09red/hsa:3718%09red/hsa:4233%09red/hsa:5228%09red/hsa:1969%09red/hsa:3082%09red/hsa:2149%09red/hsa:7532%09red/hsa:5728%09red/hsa:5595%09red/hsa:7534%09red/hsa:2254%09red/hsa:2688%09red/hsa:3479%09red/hsa:7249%09red/hsa:7248%09red/hsa:1977%09red/hsa:2335%09red/hsa:3164%09red/hsa:672%09red/hsa:3694%09red/hsa:1950%09red/hsa:1956%09red/hsa:8517%09red/hsa:596%09red/hsa:2260%09red/hsa:2056%09red/hsa:3688%09red/hsa:3675%09red/hsa:5155%09red/hsa:5594%09red/hsa:6198%09red/hsa:3673%09red/hsa:5290%09red/hsa:3685%09red/hsa:6696%09red/hsa:3678%09red/hsa:5295%09red/hsa:5159%09red/hsa:3565%09red/hsa:4790%09red/hsa:208%09red/hsa:5879%09red/hsa:3845%09red/hsa:7422%09red/hsa:3717%09red/hsa:207%09red/hsa:5578%09red/hsa:1026%09red/hsa:80310%09red/hsa:4170%09red/hsa:2932%09red/hsa:4193%09red/hsa:1385%09red/hsa:2246%09red/hsa:2247%09red/hsa:7157%09red/hsa:6794%09red/hsa:4602%09red/hsa:1129%09red/hsa:5562%09red/hsa:5563%09red/hsa:3265%09red/hsa:2263%09red/hsa:2475%09red/hsa:4609%09red/hsa:9965%09red/hsa:2309%09red/hsa:5970%09red
Angiogenesis	PANTHER	P00005	59	157	3.34192576515e-44	7.16604367642e-42	5159|8503|5321|5155|5290|332|5058|6772|3725|389|1948|1856|182|81029|3091|80310|1399|1398|7471|2246|2113|7474|5921|5295|2152|207|5747|208|2932|5584|673|3265|8312|387|388|1499|6714|3315|2260|5777|5595|1432|5594|8877|5578|5599|6464|2048|2049|6774|7422|2149|1410|7041|4855|5588|4853|4851|2535	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00005
Immune System	Reactome	R-HSA-168256	153	1583	1.63885167282e-43	3.07489545112e-41	3717|114548|3718|5747|6478|55294|6477|5588|83737|10810|27161|54756|2246|2247|408|10197|9462|3838|998|673|9902|1956|1950|5008|7534|246778|1499|7124|1958|29126|5595|5594|5599|8878|84868|929|417|829|5598|1385|2254|2064|5159|152559|2475|3569|596|8600|5155|3146|3309|4205|2309|6786|7249|1399|1398|55223|1401|8517|3667|3958|3589|64750|2932|4193|999|3265|8452|153090|5777|1437|1387|1432|3394|5578|6279|6502|6776|6777|6772|9965|9966|50616|5970|7428|23327|8503|5037|8742|177|3164|5133|8945|4067|1981|6280|10859|7099|10628|3845|2688|5781|3082|7295|3605|6885|3725|9021|29110|868|1026|960|100507436|3685|8660|6774|3965|1514|728|6500|5295|5290|5058|9051|4615|51561|5728|718|2220|4591|2033|5921|3976|207|208|3688|81559|6868|8792|9208|4790|4792|5879|2335|948|1977|1235|6464|2002|5300|9690|729230	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168256
CCKR signaling map	PANTHER	P06959	60	175	4.73527503806e-43	7.89738648015e-41	3717|595|596|4170|4609|5054|6722|4209|5058|5468|6925|3164|6714|5321|2309|5728|4067|3576|6667|5588|1958|5328|1499|1398|5781|3667|5295|4314|207|4318|999|2932|998|673|6615|387|3725|6093|9314|3315|6774|4792|1994|5595|3688|1432|5594|5578|1977|5598|6464|3685|2002|5599|5743|5747|1385|7182|5879|6198	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P06959
HTLV-I infection	KEGG PATHWAY	hsa05166	66	259	1.72167593069e-40	2.58423557196e-38	5159|8503|3569|595|4087|4088|4089|5295|5155|3718|5290|6722|1387|6929|7494|1499|8324|7015|8850|2002|7157|4790|6513|1856|1958|5925|2033|7538|7471|2113|2114|81029|8517|894|207|208|2932|8829|8061|1871|7046|3265|7040|4609|1869|3725|7124|4605|4602|7048|4792|94241|1437|1026|5599|7474|6776|6777|472|3845|89780|1385|7042|5970|4488|2535	http://www.genome.jp/kegg-bin/show_pathway?hsa05166/hsa:8829%09red/hsa:3569%09red/hsa:81029%09red/hsa:8503%09red/hsa:89780%09red/hsa:595%09red/hsa:3725%09red/hsa:2535%09red/hsa:3718%09red/hsa:6722%09red/hsa:1856%09red/hsa:7474%09red/hsa:5925%09red/hsa:7471%09red/hsa:7124%09red/hsa:8850%09red/hsa:94241%09red/hsa:7538%09red/hsa:4488%09red/hsa:2002%09red/hsa:7494%09red/hsa:1871%09red/hsa:207%09red/hsa:4088%09red/hsa:4089%09red/hsa:4087%09red/hsa:1958%09red/hsa:7015%09red/hsa:7042%09red/hsa:5155%09red/hsa:8517%09red/hsa:2113%09red/hsa:5290%09red/hsa:7040%09red/hsa:4792%09red/hsa:5295%09red/hsa:5599%09red/hsa:4790%09red/hsa:6929%09red/hsa:208%09red/hsa:5970%09red/hsa:3845%09red/hsa:8061%09red/hsa:1385%09red/hsa:5159%09red/hsa:2033%09red/hsa:472%09red/hsa:8324%09red/hsa:6776%09red/hsa:1026%09red/hsa:2114%09red/hsa:2932%09red/hsa:1387%09red/hsa:6513%09red/hsa:1437%09red/hsa:7157%09red/hsa:7048%09red/hsa:7046%09red/hsa:4602%09red/hsa:4605%09red/hsa:3265%09red/hsa:1499%09red/hsa:4609%09red/hsa:1869%09red/hsa:6777%09red/hsa:894%09red
