Gene A	Gene B	Neither	A Not B	B Not A	Both	Log Odds Ratio	p-Value	Adjusted p-Value	Tendency
NOTCH4	ATM	324	6	44	15	2.913	<0.001	<0.001	Co-occurrence
ATM	WWOX	297	33	33	26	1.959	<0.001	<0.001	Co-occurrence
NOTCH4	WWOX	323	7	45	14	2.664	<0.001	<0.001	Co-occurrence
USP9X	WWOX	314	16	42	17	2.072	<0.001	<0.001	Co-occurrence
STAT1	WWOX	324	6	47	12	2.624	<0.001	0.001	Co-occurrence
ATM	ETV1	327	49	3	10	>3	<0.001	0.002	Co-occurrence
WWOX	ETV1	327	49	3	10	>3	<0.001	0.002	Co-occurrence
TP73	PKP3	366	11	6	6	>3	<0.001	0.006	Co-occurrence
STAT1	ATM	323	7	48	11	2.358	<0.001	0.017	Co-occurrence
STAT1	ETV1	364	12	7	6	>3	<0.001	0.017	Co-occurrence
KMT2A	UBR5	332	21	24	12	2.067	<0.001	0.017	Co-occurrence
ACTN4	PAK4	364	9	10	6	>3	<0.001	0.021	Co-occurrence
EED	JAG1	366	0	19	4	>3	<0.001	0.028	Co-occurrence
STAT1	NRP2	363	12	8	6	>3	<0.001	0.029	Co-occurrence
ITGB4	NOTCH4	351	17	13	8	2.542	<0.001	0.032	Co-occurrence
NOTCH4	KMT2A	344	12	24	9	2.375	<0.001	0.033	Co-occurrence
ATM	KMT2A	312	44	18	15	1.776	<0.001	0.035	Co-occurrence
MAPK7	NUMB	375	6	4	4	>3	<0.001	0.045	Co-occurrence
SIN3A	GLS	370	14	1	4	>3	<0.001	0.047	Co-occurrence
USP9X	KMT2A	334	22	22	11	2.027	<0.001	0.049	Co-occurrence
ART1	ETV1	373	3	9	4	>3	<0.001	0.076	Co-occurrence
GLS	SNW1	380	2	4	3	>3	<0.001	0.106	Co-occurrence
TRIM33	GRN	366	11	7	5	>3	<0.001	0.121	Co-occurrence
UBE3C	QKI	366	11	7	5	>3	<0.001	0.121	Co-occurrence
EED	MAPK7	378	1	7	3	>3	<0.001	0.146	Co-occurrence
UBE3C	PIK3CA	261	3	112	13	2.312	<0.001	0.159	Co-occurrence
ART1	ATM	329	1	53	6	>3	<0.001	0.180	Co-occurrence
WWOX	SNW1	329	53	1	6	>3	<0.001	0.180	Co-occurrence
USP9X	CXCR2	354	28	2	5	>3	<0.001	0.183	Co-occurrence
KMT2A	SHH	354	28	2	5	>3	<0.001	0.183	Co-occurrence
UBE3C	ETV1	365	11	8	5	>3	<0.001	0.192	Co-occurrence
USP9X	ATM	311	19	45	14	1.628	<0.001	0.200	Co-occurrence
KMT2A	WWOX	311	19	45	14	1.628	<0.001	0.200	Co-occurrence
FSHR	ETV1	364	12	8	5	2.942	<0.001	0.267	Co-occurrence
STAT1	ART1	368	14	3	4	>3	<0.001	0.313	Co-occurrence
NOTCH4	USP9X	343	13	25	8	2.133	<0.001	0.319	Co-occurrence
KMT2A	TRIM33	347	26	9	7	2.340	<0.001	0.332	Co-occurrence
STAT1	SCIN	363	13	8	5	2.859	<0.001	0.364	Co-occurrence
FSCN2	WWOX	325	5	51	8	2.322	<0.001	0.376	Co-occurrence
JAG1	WWOX	318	12	48	11	1.804	<0.001	0.379	Co-occurrence
NRP2	ZNF143	374	11	1	3	>3	<0.001	0.440	Co-occurrence
KMT2A	PKP3	350	27	6	6	2.562	<0.001	0.456	Co-occurrence
KMT2A	NUMB	353	28	3	5	>3	<0.001	0.457	Co-occurrence
FBXW7	WWOX	284	46	38	21	1.227	<0.001	0.467	Co-occurrence
JAG1	PIK3CA	257	7	109	16	1.684	<0.001	0.498	Co-occurrence
STAT1	FBXW7	314	8	57	10	1.929	<0.001	0.514	Co-occurrence
NOTCH4	TCF3	361	16	7	5	2.780	<0.001	0.522	Co-occurrence
JAG1	FSHR	355	17	11	6	2.433	<0.001	0.527	Co-occurrence
G3BP1	KMT2A	346	10	26	7	2.232	<0.001	0.531	Co-occurrence
NOTCH4	UBR5	340	13	28	8	2.011	<0.001	0.630	Co-occurrence
ATM	UBR5	308	45	22	14	1.471	<0.001	0.640	Co-occurrence
G3BP1	WWOX	322	8	50	9	1.980	<0.001	0.651	Co-occurrence
GRN	PKP3	369	8	8	4	>3	<0.001	0.684	Co-occurrence
UBR5	QKI	347	30	6	6	2.448	<0.001	0.769	Co-occurrence
NRP2	WWOX	324	6	51	8	2.137	<0.001	0.772	Co-occurrence
IGSF8	WWOX	326	4	52	7	2.395	<0.001	0.804	Co-occurrence
WWOX	KLF8	326	52	4	7	2.395	<0.001	0.804	Co-occurrence
EED	FSHR	371	1	14	3	>3	<0.001	0.816	Co-occurrence
SIN3A	KMT2A	345	11	26	7	2.133	<0.001	0.817	Co-occurrence
NOTCH4	ETV1	360	16	8	5	2.644	<0.001	0.819	Co-occurrence
FSCN2	MMD	374	10	2	3	>3	<0.001	0.848	Co-occurrence
IGSF8	NRP2	368	7	10	4	>3	<0.001	0.911	Co-occurrence
G3BP1	UBR5	343	10	29	7	2.114	<0.001	0.964	Co-occurrence
ITGA3	UBR5	343	10	29	7	2.114	<0.001	0.964	Co-occurrence
PBXIP1	MDM4	375	8	3	3	>3	<0.001	0.971	Co-occurrence
SIN3A	ZNF143	370	15	1	3	>3	<0.001	0.978	Co-occurrence
FBXW7	FSCN2	317	59	5	8	2.151	<0.001	0.993	Co-occurrence
STAT1	UBE3C	360	13	11	5	2.533	<0.001	1.000	Co-occurrence
SIN3A	ATM	321	9	50	9	1.859	<0.001	1.000	Co-occurrence
CUX1	KMT2A	344	12	26	7	2.044	<0.001	1.000	Co-occurrence
SIN3A	PIK3CA	259	5	112	13	1.794	<0.001	1.000	Co-occurrence
JAG1	ETV1	358	18	8	5	2.520	<0.001	1.000	Co-occurrence
USP9X	HDAC6	348	27	8	6	2.269	<0.001	1.000	Co-occurrence
USP9X	NRP2	348	27	8	6	2.269	<0.001	1.000	Co-occurrence
ITGB4	KMT2A	339	17	25	8	1.853	<0.001	1.000	Co-occurrence
SCIN	ETV1	367	9	9	4	2.897	<0.001	1.000	Co-occurrence
