GeneID	GeneName
5243	ABCB1
8714	ABCC3
9429	ABCG2
9429	ABCG2
252837	Ackr4
59	ACTA2
59	ACTA2
72	ACTG2
86	ACTL6A
81	ACTN4
102	ADAM10
102	ADAM10
8038	ADAM12
8038	ADAM12
6868	ADAM17
6868	ADAM17
6868	ADAM17
9370	ADIPOQ
9370	ADIPOQ
133	ADM
84632	AFAP1L2
177	AGER
177	AGER
177	AGER
27161	AGO2
10551	AGR2
10551	AGR2
185	AGTR1
196	AHR
196	AHR
55966	AJAP1
84962	AJUBA
207	AKT1
207	AKT1
207	AKT1
207	AKT1
207	AKT1
207	AKT1
207	AKT1
207	AKT1
207	AKT1
207	AKT1
207	AKT1
207	AKT1
207	AKT1
207	AKT1
207	AKT1
207	AKT1
207	AKT1
207	AKT1
207	AKT1
207	AKT1
207	AKT1
207	AKT1
207	AKT1
207	AKT1
207	AKT1
11651	Akt1
11651	Akt1
11651	Akt1
11651	Akt1
11651	Akt1
208	AKT2
208	AKT2
208	AKT2
208	AKT2
64400	AKTIP
210	ALAD
216	ALDH1A1
229	ALDOB
238	ALK
238	ALK
238	ALK
238	ALK
60529	ALX4
60529	ALX4
283	ANG
51129	ANGPTL4
302	ANXA2
302	ANXA2
302	ANXA2
308	ANXA5
308	ANXA5
90586	AOC4P
406135	Apamin
322	APBB1
360	AQP3
362	AQP5
362	AQP5
366	AQP9
367	AR
367	AR
367	AR
367	AR
367	AR
367	AR
367	AR
11835	Ar
23365	ARHGEF12
9181	ARHGEF2
25852	ARMC8
408	ARRB1
417	ART1
429	ASCL1
430	ASCL2
472	ATM
472	ATM
11920	Atm
84833	ATP5MD
6310	ATXN1
6790	AURKA
6790	AURKA
6790	AURKA
6790	AURKA
6790	AURKA
8312	AXIN1
558	AXL
558	AXL
9531	BAG3
9531	BAG3
116071	BATF2
27113	BBC3
10286	BCAS2
596	BCL2
596	BCL2
604	BCL6
627	BDNF
8553	BHLHE40
332	BIRC5
332	BIRC5
648	BMI1
648	BMI1
648	BMI1
648	BMI1
648	BMI1
648	BMI1
648	BMI1
648	BMI1
650	BMP2
650	BMP2
652	BMP4
654	BMP6
655	BMP7
12162	Bmp7
85272	Bmp7
85272	Bmp7
12181	Bop1
673	BRAF
672	BRCA1
23476	BRD4
57261	Brd4
29117	BRD7
55290	BRF2
25855	BRMS1
682	BSG
682	BSG
682	BSG
55727	BTBD7
8945	BTRC
11149	BVES
718	C3
728	C5AR1
768	CA9
826	CAPNS1
829	CAPZA1
29775	CARD10
857	CAV1
857	CAV1
857	CAV1
857	CAV1
12389	Cav1
284119	CAVIN1
868	CBLB
25776	CBY1
6362	CCL18
