Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Molecular Function	GO:0044877	protein-containing complex binding	 	2.682E-67	4.278E-64	4.278E-64	3.402E-63	250	1626	NCOA3,ERG,NANOG,ESR1,SMC1A,ACTN4,ACTL6A,EZH2,F2R,ADAM10,GRHL2,CLIP1,MEF2A,PLAC8,S100A8,S100A9,MET,PARP1,FBLN1,SALL1,NDRG1,MTA3,SATB1,HOOK1,ATXN1,YAP1,MITF,FGF1,KMT2A,FOXO4,FGFR1,MMP3,MMP9,MMP14,FST,CX3CL1,FOXC2,FOXO1,FOXO3,FLNA,SFRP2,FMR1,FN1,SHC1,APBB1,BIRC5,SIX1,SKI,SKIL,FAS,AR,MBD3,ARRB1,MTOR,ASCL1,GNA13,TP63,NR5A2,SNAI2,UHRF1,IRS2,ATM,TRIM37,KDM1A,MYC,SOX2,SOX9,NES,EED,SPARC,AGO2,GAPDH,SRC,GATA1,SREBF1,GATA3,SRF,GATA6,CCND1,BCL6,KDM6B,ERBIN,STAT3,STAT5B,STIM1,WISP2,BMI1,HDAC3,STK11,PPARGC1A,KAT2B,BRCA1,NF2,EHMT2,GLI1,GLI2,NFKB1,NFKBIA,BOP1,ADAM17,NKX6-1,NME1,GOLGA2,NOTCH1,NOV,DDR1,TCF4,TCF3,SATB2,ZEB1,YBX1,DDR2,CAPZA1,RNF8,TWIST2,RUNX2,SIRT1,GSK3B,TGFBR1,TGFBR3,MTA1,TIMP2,SMC3,TLE1,TLE4,BRD4,CD36,TLN1,CD44,PAK1,CD63,H2AFZ,CD151,SETD7,SUZ12,ARHGEF2,AJUBA,CDH2,TNXB,TP53,HDAC1,TP73,CPEB1,HDAC2,EXOC4,CDKN1A,HIF1A,CEBPA,CEBPB,PDGFB,PDZK1,TRPS1,ZMYND8,OLA1,OVOL2,LHX2,CKS2,SLC9A3R1,PIK3R1,HRG,PRMT1,HES1,HSF1,TXN2,KDM6A,HSPA4,HSPA5,VCP,VHL,EZR,VIM,BAG3,ID1,XBP1,EIF5A2,POU5F1,SIN3A,PPARG,CREBBP,YWHAZ,CRP,CRYAB,IGF1,IGF1R,CYR61,CSNK2B,CSPG4,PRKAA1,PRKAA2,CTGF,CTNNB1,SCIN,CTSL,NEUROG3,PROP1,DAB2IP,ZNF143,PCGF2,ILK,HDAC4,IRS1,ITGA2,ITGA3,ITGA5,PTEN,ITGB1,ITGB6,PTK2,MAGI2,JARID2,JUN,SETDB1,PTPN11,MRC2,KDR,DLX2,KIF5B,DNMT1,DNMT3B,KRAS,KRT8,ITCH,RARB,HDAC6,HDAC5,RASA1,KDM5A,RTN4,L1CAM,RELA,LASP1,LGALS3,HMGA2,MICALL2,EGFR,EGR1,TRIM28,EIF2S1,LOXL2,EIF5A,ELK1,LYN,EPCAM,IMP3,LEF1,EP300,SMAD2,SMAD3,SMAD4,SMAD7
GO: Molecular Function	GO:0005102	signaling receptor binding	 	1.901E-61	3.032E-58	1.516E-58	1.206E-57	239	1601	EPHB2,EPO,NCOA3,ERBB2,ESR1,ESR2,ETS2,ACTN4,MDM2,F2,F2R,ADAM10,LRG1,AXIN1,S100A4,FZD7,ADM,CCR2,S100A8,S100A9,PARP1,S100P,FBLN1,EFEMP1,RACK1,JAG1,AGTR1,CXCL9,FGF1,FGF2,CCL2,CCL3,FGF9,FAM3C,CCL5,CCL18,CCL19,CCL20,CCL21,CCL22,CCL25,MMP14,CXCL5,CX3CL1,CXCL12,FLNA,FLOT2,MACC1,SFRP2,ANG,FN1,ANXA5,AGR2,SHC1,CXCL13,IKBKG,SHH,IL23A,AR,ARRB1,TNFSF11,DKK1,STC2,GNA13,PDGFD,SLIT3,IRS2,MUC4,TRIM37,KDM1A,MYD88,UIMC1,TNFSF12,TNFSF10,SPP1,SRC,SRI,RIPK2,GATA3,NCL,GDF10,ERBIN,LILRB1,BDNF,STAT1,STAT3,STAT5B,GH1,WISP2,BMP2,PPARGC1A,BMP4,BMP6,BMP7,BRCA1,NF2,SQSTM1,C3,MICA,ADAM17,SEMA4A,NODAL,NOTCH1,NOTCH4,NOV,GPI,NPPA,NTRK2,ROR2,NUCB2,ARHGEF12,GRN,CAV1,SIRT1,GSK3B,TFF1,TGFA,TGFB1,TGFB1I1,TGFB2,TGFB3,TGFBR1,TGFBR2,TGFBR3,OSM,P2RY2,TIMP2,PEBP1,TLN1,SERPINE1,CD44,CD151,TNF,CDC42,CDH5,TNXB,TP53,IL27,CDK5,HDGF,HGF,HIF1A,CEBPB,PDGFB,PDGFRB,PDZK1,HMGB1,NR4A1,HNF4A,PGF,WNT5B,SLC9A3R1,ADIPOQ,PIK3R1,CTHRC1,HRG,SMURF2,VCP,VDR,VEGFA,GDF15,WNT1,WNT5A,WNT11,POMC,XBP1,CXCL14,PPARG,CREBBP,YWHAG,CRK,CRP,PTPA,IGF1,IGF1R,CSF2,CYR61,CSNK2B,IL22,PITPNM3,CTGF,CTNNB1,CTNND1,IL4,IL6,CXCL8,PROX1,DAB2IP,IL11,IL17A,ILK,IRS1,ITGA2,ITGA3,ITGA5,PTEN,ITGAV,ITGB1,ITGB6,PTHLH,PTK2,SEMA4C,JAK2,JAK3,MAGI2,PTPN6,PTPN11,WNT3A,KDR,FGF19,TNFSF15,DNMT1,ITCH,RARB,PDCD6IP,KRT17,RASA1,RB1,L1CAM,DVL2,NR1H3,LEP,EDN1,LGALS3,LIF,TRAP1,NAMPT,EFNB2,EGF,EGFR,GREM1,EGFL7,LYN,LEF1,EP300,SMAD2,SMAD3,EPHA4,SMAD7
GO: Molecular Function	GO:0001067	regulatory region nucleic acid binding	 	3.111E-61	4.962E-58	1.654E-58	1.315E-57	172	866	NCOA3,NANOG,ESR1,ESR2,ESRRA,ESRRB,ETS2,ETV1,ETV4,ACTN4,ACTL6A,EZH2,GRHL2,SNAI3,MEF2A,MEF2D,SALL1,SATB1,YAP1,MITF,AHR,KMT2A,MKL1,FOXC1,FOXC2,FOXM1,FOXO3,XRN2,SIX1,SKIL,BHLHE40,AR,MBD3,MSX2,FOXD3,ARRB1,MTOR,ASCL1,ASCL2,TP63,BRD7,NR5A2,UHRF1,SNAI1,MUC1,KDM1A,MYB,MYBL2,MYC,SOX2,FOXJ2,SOX3,SOX4,SOX5,SOX9,SP1,AGO2,GATA1,SREBF1,GATA3,SRF,GATA6,NKX3-2,BCL6,STAT1,STAT3,STAT5A,STAT5B,KAT2B,NR1I2,BRCA1,EHMT2,GLI1,NFIL3,GLI2,KLF5,NFKB1,TBXT,NKX6-1,NME1,NOTCH1,TCF4,TCF3,ZEB1,YBX1,SOX17,RUNX2,RUNX1,SIRT1,MTA1,H2AFZ,PAX2,TNF,SUZ12,PBX1,PBX3,TP53,HDAC1,TP73,HDAC2,HDGF,CDX2,CEBPA,CEBPB,TRPS1,ZMYND8,FOXA1,FOXA2,KLF4,HNF4A,ALX4,TWIST1,OVOL2,HOXA10,HOXA13,LHX2,HOXD9,HAND1,HES1,KLF17,HSF1,KDM6A,VDR,ONECUT2,WNT1,WNT5A,WNT11,IRF8,XBP1,POU5F1,SIN3A,PPARG,BATF2,CREB1,CREBBP,MZF1,ZNF746,CTNNB1,NEUROG3,CUX1,PROP1,PROX1,FOXK2,HDAC4,IRF6,JARID2,JUN,JUNB,DLX2,RARB,HDAC6,HDAC5,FOXP2,RB1,E2F1,NR1H3,E2F3,SALL4,RELA,TBL1XR1,FOSL1,HMGA2,EGR1,ELF5,ELK1,ELK3,LEF1,EP300,SMAD2,SMAD3,SMAD4,SMAD7
GO: Molecular Function	GO:0043565	sequence-specific DNA binding	 	3.169E-60	5.055E-57	1.162E-57	9.238E-57	193	1096	FOXQ1,ERG,NANOG,ESR1,ESR2,ESRRA,ESRRB,ETS1,ETS2,ETV1,ETV4,ACTN4,ACTL6A,EZH2,GRHL2,SNAI3,MEF2A,MEF2D,KLF2,SALL1,MTA3,SATB1,YAP1,MITF,AHR,KMT2A,FOXO4,HOXB13,MKL1,FOXC1,PRRX2,FOXC2,FOXM1,FOXO1,FOXO3,FOXN1,XRN2,SIX1,SKIL,FOXR2,AR,MBD3,MSX2,FOXD3,MTOR,ASCL1,ASCL2,TP63,NR5A2,SNAI2,UHRF1,SNAI1,MUC1,KDM1A,MYB,MYBL2,MYC,SOX2,FOXJ2,SOX3,SOX4,SOX9,SP1,GATA1,SREBF1,GATA3,SRF,GATA6,NKX3-2,NCL,BCL2,BCL6,KDM6B,STAT1,STAT3,STAT5A,STAT5B,PPARGC1A,KAT2B,NR1I2,EHMT2,GLI1,NFIL3,GLI2,KLF5,NFKB1,TBXT,NKX6-1,NME1,NOTCH1,TCF4,TCF3,SATB2,ZEB1,YBX1,SOX17,RUNX2,RUNX1,TERT,NR2F2,SIRT1,MTA1,H2AFZ,MAEL,PAX2,SUZ12,PBX1,PBX3,PCBP1,TP53,TP53BP1,HDAC1,TP73,HDAC2,HDGF,NR2C2,HIC1,HIF1A,CDX2,NANOGP8,CEBPA,CEBPB,TRPS1,ZMYND8,FOXN3,NR4A1,FOXA1,FOXA2,KLF4,HNF4A,HNRNPAB,ALX4,HOXA9,HOXA10,HOXA13,LHX2,HOXB9,HOXD9,SPDEF,PRMT1,HAND1,PLAGL2,HES1,KLF17,HSF1,KDM6A,VDR,ONECUT2,PRRX1,XBP1,POU5F1,SIN3A,PPARG,BATF2,CREB1,CREBBP,MZF1,ZNF746,NEUROG3,CUX1,PROP1,PROX1,FOXK2,HDAC4,JARID2,JUN,JUNB,DLX2,DNMT1,DNMT3B,ZBTB33,RARB,HDAC5,FOXP2,E2F1,NR1H3,SALL4,RELA,NLRP3,FOSL1,HMGA2,EGR1,TRIM28,ELF5,RORC,ELK1,ELK3,LEF1,EP300,EPAS1,SMAD2,SMAD3,SMAD4
GO: Molecular Function	GO:0044212	transcription regulatory region DNA binding	 	3.642E-60	5.809E-57	1.162E-57	9.238E-57	170	860	NCOA3,NANOG,ESR1,ESR2,ESRRA,ESRRB,ETS2,ETV1,ETV4,ACTN4,ACTL6A,EZH2,GRHL2,SNAI3,MEF2A,MEF2D,SALL1,SATB1,YAP1,MITF,AHR,KMT2A,MKL1,FOXC1,FOXC2,FOXM1,FOXO3,XRN2,SIX1,SKIL,BHLHE40,AR,MBD3,MSX2,FOXD3,ARRB1,MTOR,ASCL1,ASCL2,TP63,BRD7,NR5A2,UHRF1,SNAI1,MUC1,KDM1A,MYB,MYBL2,MYC,SOX2,FOXJ2,SOX3,SOX4,SOX5,SOX9,SP1,AGO2,GATA1,SREBF1,GATA3,SRF,GATA6,NKX3-2,BCL6,STAT1,STAT3,STAT5A,STAT5B,KAT2B,NR1I2,BRCA1,EHMT2,GLI1,NFIL3,GLI2,KLF5,NFKB1,TBXT,NKX6-1,NME1,NOTCH1,TCF4,TCF3,ZEB1,YBX1,SOX17,RUNX2,RUNX1,SIRT1,MTA1,H2AFZ,PAX2,TNF,SUZ12,PBX1,PBX3,TP53,HDAC1,TP73,HDAC2,HDGF,CDX2,CEBPA,CEBPB,TRPS1,ZMYND8,FOXA1,FOXA2,KLF4,HNF4A,ALX4,TWIST1,OVOL2,HOXA10,HOXA13,LHX2,HOXD9,HAND1,HES1,KLF17,HSF1,KDM6A,VDR,ONECUT2,WNT1,WNT5A,WNT11,XBP1,POU5F1,SIN3A,PPARG,BATF2,CREB1,CREBBP,MZF1,ZNF746,CTNNB1,NEUROG3,CUX1,PROP1,PROX1,FOXK2,HDAC4,JARID2,JUN,JUNB,DLX2,RARB,HDAC6,HDAC5,FOXP2,RB1,E2F1,NR1H3,E2F3,SALL4,RELA,TBL1XR1,FOSL1,HMGA2,EGR1,ELF5,ELK1,ELK3,LEF1,EP300,SMAD2,SMAD3,SMAD4,SMAD7
GO: Molecular Function	GO:0008134	transcription factor binding	 	8.032E-56	1.281E-52	2.135E-53	1.698E-52	135	584	NCOA3,ESR1,ESRRB,ETS1,ACTN4,MEF2A,MEF2D,PARP1,SALL1,KAT8,AHR,FOXO4,SPOP,MAD2L2,FOXC1,FOXO1,FOXO3,FLNA,APBB1,HIPK2,SKI,BHLHE40,AR,MSX2,ARRB1,MTOR,ASCL1,BRD7,SUFU,KDM1A,MYC,SOX2,SOX9,UIMC1,SP1,HDAC8,SRI,GATA1,GATA3,SRF,GATA6,CCND1,BCL2,STAT3,HDAC3,PPARGC1A,KAT2B,KLF5,NFKB1,NFKBIA,TBXT,NOTCH2,TCF4,TCF3,ZEB1,YBX1,SOX17,CAV1,RUNX2,RUNX1,TERT,SIRT1,GSK3B,MTA1,TLE1,TLE4,PAX2,ARHGEF2,PBX1,TP53,TP53BP1,TP53BP2,HDAC1,TP73,HDAC2,HDGF,HIF1A,CEBPA,CEBPB,TRPS1,ZMYND8,HMGB1,NR4A1,FOXA1,FOXA2,KLF4,HNF4A,TWIST1,PIK3R1,HAND1,HES1,HSPA4,VDR,BRMS1,VHL,ID1,XBP1,POU5F1,SIN3A,PPARG,CREB1,CREBBP,YWHAZ,MAPK14,CSNK2B,CTBP1,MAPK1,CTNNB1,HDAC9,HDAC4,JUN,JUNB,TRIM11,PARD6A,RARB,HDAC5,RASA1,RB1,E2F1,NR1H3,RELA,NLRP3,EEF1D,HMGA2,EGR1,EIF4E,RORC,ELK1,LEF1,MTDH,EP300,EPAS1,SMAD2,SMAD3,SMAD4
GO: Molecular Function	GO:0000981	RNA polymerase II transcription factor activity, sequence-specific DNA binding	 	9.666E-56	1.542E-52	2.202E-53	1.751E-52	145	675	NCOA3,FOXQ1,ERG,ESR1,ESR2,ESRRA,ESRRB,ETS1,ETS2,ETV1,ETV4,TFDP3,GRHL2,SNAI3,MEF2A,MEF2D,SALL1,SATB1,MITF,AHR,FOXO4,FOXC1,FOXC2,FOXM1,FOXO1,FOXO3,FOXN1,TEAD2,SIM2,SIX1,SKIL,BHLHE40,FOXR2,AR,MSX2,FOXD3,ASCL1,ASCL2,TP63,NR5A2,SNAI2,SNAI1,MYB,MYBL2,MYC,SOX2,FOXJ2,SOX4,SOX5,SOX9,SP1,GATA1,SREBF1,GATA3,SRF,GATA6,NKX3-2,BCL6,STAT1,STAT3,STAT5A,STAT5B,NR1I2,GLI1,NFIL3,GLI2,KLF5,NFKB1,TBXT,NKX6-1,TCF4,TCF3,ZEB1,YBX1,SOX17,RUNX2,RUNX1,NR2F2,TLE4,PAX2,PBX1,PBX3,PCBP1,TP53,TP73,HDGF,HIF1A,CDX2,CEBPA,CEBPB,TRPS1,NR4A1,FOXA1,FOXA2,KLF4,HNF4A,ALX4,TWIST1,OVOL2,HOXA10,HOXD9,SPDEF,HAND1,PLAGL2,HES1,KLF17,HSF1,VDR,ONECUT2,IRF8,XBP1,POU5F1,PPARG,BATF2,CREB1,CREBBP,MZF1,ZNF746,NEUROG3,PROP1,PROX1,FOXK2,ZEB2,JARID2,JUN,JUNB,DLX2,RARB,HDAC5,FOXP2,NR1H3,RELA,FOSL1,HMGA2,EGR1,ELF5,RORC,ELK1,ELK3,LEF1,EP300,EPAS1,SMAD2,SMAD3,SMAD4
GO: Molecular Function	GO:0003682	chromatin binding	 	1.791E-53	2.856E-50	3.570E-51	2.839E-50	124	513	NCOA3,ERG,NANOG,ESR1,SMC1A,ACTN4,ACTL6A,EZH2,GRHL2,MEF2A,PLAC8,PARP1,SALL1,MTA3,SATB1,ATXN1,YAP1,MITF,KMT2A,FOXO4,FOXC2,FOXO1,FOXO3,FMR1,APBB1,SIX1,SKI,SKIL,AR,MBD3,ASCL1,TP63,NR5A2,SNAI2,UHRF1,TRIM37,KDM1A,SOX2,SOX9,EED,GATA1,SREBF1,GATA3,SRF,GATA6,BCL6,KDM6B,STAT3,STAT5B,BMI1,HDAC3,PPARGC1A,KAT2B,BRCA1,EHMT2,GLI1,GLI2,NFKB1,NKX6-1,NOTCH1,TCF4,TCF3,SATB2,ZEB1,YBX1,RNF8,TWIST2,RUNX2,MTA1,SMC3,TLE1,TLE4,BRD4,H2AFZ,SETD7,SUZ12,AJUBA,TP53,HDAC1,TP73,HDAC2,CEBPB,TRPS1,ZMYND8,OVOL2,LHX2,CKS2,HES1,HSF1,KDM6A,XBP1,POU5F1,SIN3A,PPARG,CREBBP,CSNK2B,PRKAA1,PRKAA2,CTNNB1,NEUROG3,PROP1,ZNF143,PCGF2,HDAC4,JARID2,JUN,SETDB1,DLX2,DNMT1,DNMT3B,HDAC5,KDM5A,RELA,HMGA2,EGFR,EGR1,TRIM28,LOXL2,ELK1,LEF1,EP300,SMAD2,SMAD3,SMAD4
GO: Molecular Function	GO:0019899	enzyme binding	 	5.908E-53	9.423E-50	1.047E-50	8.326E-50	251	1929	EPS8,SPRY2,ERBB2,ERN1,ESR1,ESR2,RPS6KB1,ACTA2,ETS1,MDM2,MDM4,ADAM10,F3,MEF2A,MEF2D,AXIN1,CCR2,MET,PARP1,NDRG1,RACK1,SERPINB4,KAT8,AGTR1,AKT1,FOXO4,AKT2,SPOP,MAD2L2,ALDOB,MAGEC2,FOXM1,CUL4A,CUL3,FOXO1,FOXO3,FLNA,FLOT2,SRSF3,FN1,PPM1D,ANXA2,ANXA5,SHC1,APBB1,IKBKG,BIRC5,SIAH2,SKI,FAS,AR,SLC2A1,TXNIP,ARRB1,NOX1,STC2,MTOR,CD24,IRS2,SNAI1,SUFU,BBC3,TRIM37,KDM1A,SOD2,MYC,SOX9,SP1,AGO2,WWOX,SRC,SRI,SREBF1,SRF,GATA6,CCND1,GOLPH3,BCL2,LILRB1,STAT1,STAT3,STAT5A,STAT5B,CEACAM1,STIM1,AURKA,HDAC3,PPARGC1A,KAT2B,BRCA1,BRAF,SPHK1,SQSTM1,NFKBIA,EHD1,NME1,GOLGA2,NOTCH1,NOTCH2,NOTCH3,GPI,TCF3,USP22,YBX1,NTRK2,RNF8,CAV1,PSTPIP1,RUNX2,CBLB,SIRT3,SIRT1,GSK3B,CCNA2,CCND2,TGFB1,TGFBR1,TGFBR2,AKTIP,MTA1,TIMP2,TIMP3,PEBP1,FURIN,ERRFI1,SERPINE1,CD44,PAK1,H2AFX,PAWR,TNF,ARHGEF2,PARD3,CDC42,CDH1,CDH2,CDH5,TP53,HDAC1,TP73,HDAC2,CDK5,EXOC4,CDKN1A,HIC1,HIF1A,CEBPA,CEBPB,PDGFRB,CFTR,TRPC5,HMGB1,TSC2,FOXA2,KLF4,TXN,HOXA9,HOXA10,SLC9A3R1,PIK3R1,PIN1,PKD1,PLA2G4A,PRMT1,HAND1,HES1,CCR5,EIF2AK3,HSPA5,HSPB1,VCP,BRMS1,VHL,EZR,VIM,XBP1,POU5F1,PPARG,CREB1,YWHAG,YWHAZ,ZFP36,CRK,PTPA,MAPK14,ZNF746,CSPG4,PRKAA1,PITPNM3,PRKCA,MAPK1,CTNNB1,MAPK3,CTNND1,MAPK7,MAPK8,MAP2K1,DAB2IP,HDAC9,ILK,HDAC4,IRS1,ITGA3,PTEN,ITGAV,ITGB1,PTGS2,PTK2,JAK2,JAK3,MAGI2,JUN,PTPN6,PTPN11,PARD6A,CXCR4,KCNN4,KIF5B,RAC1,DNMT1,DNMT3B,KPNA2,HDAC6,HDAC5,RASA1,RB1,DVL2,E2F1,RELA,LCN2,LGALS9,TRAP1,LMNA,LMNB1,MICALL2,EGFR,EGR1,TRIM28,EIF4E,ELAVL1,ROCK1,ROS1,LYN,ENO1,LEF1,EP300,EPAS1,SMAD2,SMAD3,SMAD7,FBXW7
GO: Molecular Function	GO:0003700	DNA-binding transcription factor activity	 	1.485E-44	2.368E-41	2.368E-42	1.883E-41	184	1264	NCOA3,FOXQ1,ERG,NANOG,ESR1,ESR2,ESRRA,ESRRB,ETS1,ETS2,ETV1,ETV4,TFDP3,GRHL2,SNAI3,MEF2A,MEF2D,KLF2,SALL1,MTA3,SATB1,MITF,AHR,KMT2A,FOXO4,MKL1,FOXC1,PRRX2,FOXC2,FOXM1,FOXO1,FOXO3,FOXN1,TEAD2,SIM2,SIX1,SKIL,BHLHE40,FOXR2,AR,MSX2,FOXD3,ASCL1,ASCL2,TP63,NR5A2,SNAI2,UHRF1,SNAI1,KDM1A,MYB,MYBL2,MYC,SOX2,FOXJ2,SOX3,SOX4,SOX5,SOX9,SP1,KDM5B,GATA1,SREBF1,GATA3,SRF,GATA6,NKX3-2,BCL6,STAT1,STAT3,STAT5A,STAT5B,NR1I2,GLI1,NFIL3,SPZ1,GLI2,KLF5,NFKB1,TBXT,NKX6-1,NOTCH1,TCF4,TCF3,ZEB1,YBX1,SOX17,TWIST2,RUNX2,RUNX1,NR2F2,MTA1,TLE4,PAX2,PBX1,PBX3,PCBP1,TP53,HDAC1,TP73,HDAC2,HDGF,NR2C2,HIC1,HIF1A,CDX2,CEBPA,CEBPB,TRPS1,HMGB1,FOXN3,NR4A1,FOXA1,FOXA2,KLF4,TRIM29,HNF4A,HNRNPAB,ALX4,TWIST1,OVOL2,HOXA10,HOXA13,HOXD9,SPDEF,HAND1,PLAGL2,HES1,KLF17,HSF1,VDR,ONECUT2,WNT5A,IRF8,ID1,XBP1,POU5F1,SIN3A,PPARG,BATF2,CREB1,CREBBP,MZF1,ZNF746,CTBP1,CTNNB1,NEUROG3,PROP1,PROX1,FOXK2,PCGF2,IRF6,ZEB2,JARID2,JUN,JUNB,DLX2,RARB,HDAC5,FOXP2,RB1,KDM5A,E2F1,NR1H3,E2F3,SALL4,RELA,FOSL1,HMGA2,EGR1,TRIM28,ELF5,RORC,ELK1,ELK3,ENO1,LEF1,EP300,EPAS1,SMAD2,SMAD3,SMAD4,SMAD7,FBXW7
